"titles" "years" "links" "rateCount" "rateValue" "genre" "director" "production" "time"
"Gwiezdne wojny: Czêœæ VI - Powrót Jedi " "1983" "/film/Gwiezdne+wojny%3A+Cz%C4%99%C5%9B%C4%87+VI+-+Powr%C3%B3t+Jedi-1983-547" 281090 "8,02" "Przygodowy  /  Sci-Fi" "  Richard Marquand " "USA" "2 godz. 14 min."
"Dawno temu w Ameryce " "1984" "/film/Dawno+temu+w+Ameryce-1984-1038" 102251 "8,01" "Dramat  /  Gangsterski" "  Sergio Leone " "USA  /  W³ochy" "3 godz. 49 min."
"Dobry, z³y i brzydki " "1966" "/film/Dobry%2C+z%C5%82y+i+brzydki-1966-5103" 97761 "8,01" "Western" "  Sergio Leone " "Hiszpania  /  W³ochy  /  RFN" "2 godz. 59 min."
"S³u¿¹ce " "2011" "/film/S%C5%82u%C5%BC%C4%85ce-2011-567127" 267375 "8,01" "Dramat" "  Tate Taylor " "Indie  /  USA  /  Zjednoczone Emiraty Arabskie" "2 godz. 26 min."
"W pogoni za szczêœciem " "2006" "/film/W+pogoni+za+szcz%C4%99%C5%9Bciem-2006-240046" 257736 "8,00" "Biograficzny  /  Dramat obyczajowy" "  Gabriele Muccino " "USA" "1 godz. 57 min."
"Kasyno " "1995" "/film/Kasyno-1995-1029" 152833 "8,00" "Dramat  /  Gangsterski" "  Martin Scorsese " "Francja  /  USA" "2 godz. 58 min."
"Pamiêtnik " "2004" "/film/Pami%C4%99tnik-2004-38887" 353226 "7,99" "Melodramat" "  Nick Cassavetes " "USA" "2 godz. 3 min."
"Pluton " "1986" "/film/Pluton-1986-1068" 124174 "7,98" "Dramat  /  Wojenny" "  Oliver Stone " "USA  /  Wielka Brytania" "2 godz. "
"Amadeusz " "1984" "/film/Amadeusz-1984-1286" 115393 "7,98" "Biograficzny  /  Muzyczny" "  Miloš Forman " "USA" "2 godz. 40 min."
"Mroczny Rycerz " "2008" "/film/Mroczny+Rycerz-2008-236351" 491194 "7,98" "Akcja  /  Sci-Fi" "  Christopher Nolan " "USA  /  Wielka Brytania" "2 godz. 32 min."
"Gor¹czka " "1995" "/film/Gor%C4%85czka-1995-660" 146236 "7,97" "Sensacyjny" "  Michael Mann " "USA" "2 godz. 50 min."
"W³adca Pierœcieni: Dru¿yna Pierœcienia " "2001" "/film/W%C5%82adca+Pier%C5%9Bcieni%3A+Dru%C5%BCyna+Pier%C5%9Bcienia-2001-1065" 700355 "7,97" "Fantasy  /  Przygodowy" "  Peter Jackson " "Nowa Zelandia  /  USA" "2 godz. 58 min."
"Bogowie " "2014" "/film/Bogowie-2014-694378" 328314 "7,97" "Biograficzny  /  Dramat" "  £ukasz Palkowski " "Polska" "2 godz. 1 min."
"Infiltracja " "2006" "/film/Infiltracja-2006-136005" 328402 "7,96" "Krymina³" "  Martin Scorsese " "Hongkong  /  USA" "2 godz. 32 min."
"Parasite " "2019" "/film/Parasite-2019-798143" 124948 "7,96" "Dramat" "  Joon-ho Bong " "Korea Po³udniowa" "2 godz. 12 min."
"Bêkarty wojny " "2009" "/film/B%C4%99karty+wojny-2009-137747" 552920 "7,95" "Wojenny" "  Quentin Tarantino   /    Eli Roth " "Niemcy  /  USA" "2 godz. 33 min."
"Avengers: Koniec gry " "2019" "/film/Avengers%3A+Koniec+gry-2019-790542" 136825 "7,94" "Akcja  /  Sci-Fi" "  Anthony Russo   /    Joe Russo " "USA" "3 godz. 2 min."
"Spirited Away: W krainie Bogów " "2001" "/film/Spirited+Away%3A+W+krainie+Bog%C3%B3w-2001-33288" 123170 "7,94" "Fantasy  /  Przygodowy  /  Anime" "  Hayao Miyazaki " "Japonia" "2 godz. 5 min."
"Mój przyjaciel Hachiko " "2009" "/film/M%C3%B3j+przyjaciel+Hachiko-2009-449935" 173631 "7,94" "Dramat" "  Lasse Hallström " "USA  /  Wielka Brytania" "1 godz. 33 min."
"£owca jeleni " "1978" "/film/%C5%81owca+jeleni-1978-1045" 122194 "7,93" "Dramat  /  Wojenny" "  Michael Cimino " "USA  /  Wielka Brytania" "3 godz. 2 min."
"Siedem dusz " "2008" "/film/Siedem+dusz-2008-459974" 471806 "7,93" "Dramat" "  Gabriele Muccino " "USA" "2 godz. 3 min."
"Przebudzenia " "1990" "/film/Przebudzenia-1990-1035" 109976 "7,93" "Dramat obyczajowy" "  Penny Marshall " "USA" "2 godz. 1 min."
"Psychoza " "1960" "/film/Psychoza-1960-1321" 131409 "7,92" "Thriller" "  Alfred Hitchcock " "USA" "1 godz. 49 min."
"Bohemian Rhapsody " "2018" "/film/Bohemian+Rhapsody-2018-619201" 180909 "7,91" "Biograficzny  /  Dramat  /  Muzyczny" "  Bryan Singer " "USA  /  Wielka Brytania" "2 godz. 14 min."
"Miasto Boga " "2002" "/film/Miasto+Boga-2002-38377" 166174 "7,90" "Dramat  /  Thriller" "  Fernando Meirelles " "Brazylia  /  Francja" "2 godz. 10 min."
"Przekrêt " "2000" "/film/Przekr%C4%99t-2000-1326" 241269 "7,90" "Komedia kryminalna" "  Guy Ritchie " "USA  /  Wielka Brytania" "1 godz. 44 min."
